simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
87,0.640851692469036,"0,1,3,5,8,12,14,15,16,18,19,20,21,24,25,27,30,31,33,34,35,36,40,44,45,46,47,48",0.6978387522090206,"2,9,10,13,17,25,34,35,39,43,46,47,48",0.5,,0.5,
88,0.6142824252766154,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7193759395441434,"3,7,8,12,15,16,19,26,34,35,36,37,43,44,45,48,49",0.5,,0.5,
89,0.6706647979748596,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,37,38,39,40,41,43,44,46,47,48,49",0.7506247080169052,"3,6,7,9,14,17,22,29,32,34,39,40,49",0.5,,0.5,
90,0.6340893929286191,"0,2,4,5,8,11,13,14,17,19,30,35,37,41,46,49",0.7598372248165444,"3,10,16,19,22,24,28,30,33,35,37,41,43,49",0.5,,0.5,
91,0.6292113628390087,"0,1,2,3,4,5,7,8,9,10,11,13,14,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,35,36,37,38,39,41,42,43,44,45,46,47,48,49",0.7140206887020125,"1,2,4,14,16,20,21,22,23,31,36,38,42,44",0.5,,0.5,
92,0.6319153834694403,"0,4,7,10,12,17,19,21,22,23,25,27,28,30,34,36,38,39,43,45,49",0.6904901203970801,"0,5,9,10,16,18,23,25,27,28,36,48",0.5,,0.5,
93,0.6140610919068692,"1,4,5,6,7,9,10,13,15,16,17,19,20,23,24,25,26,27,28,29,30,31,32,33,35,38,41,44,45,49",0.6911079128949386,"4,6,13,22,25,26,27,30,31,35,36,41,42,45",0.5,,0.5,
94,0.6433514770270418,"0,1,2,3,4,5,6,8,10,11,12,13,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7231375552730789,"1,12,15,17,18,20,24,34,35,39,41,43,49",0.5,,0.5,
95,0.6620979999192973,"0,2,3,6,8,10,13,14,15,16,17,18,20,23,24,26,27,28,29,30,32,34,36,37,38,41,43,44,46,48,49",0.7609856483785492,"0,2,10,15,16,18,20,27,31,34,36,43,44,48",0.5,,0.5,
96,0.6366098446240559,"0,1,3,4,8,9,10,11,12,14,15,16,17,18,21,24,26,27,29,30,31,32,34,35,37,39,40,43,44,45,46,47,48",0.7035904047610854,"4,8,10,11,13,24,30,31,35,43,49",0.5,,0.5,
